Validator	Script	TxId	Measured CPU	Measured Memory	Reference CPU	Reference Memory	Message
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	7529b206a78becb793da74b78c04d9d33a2540a1abd79718e681228f4057403a	1711787585	8658237	1653981596	6354140	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	ecb5e8308b57724e0f8533921693f111eba942123cf8660aac2b5bac21ec28f0	3303950557	21822653	2537149721	8601508	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	65bc4b69b46d18fdff0fadbf00dd5ec2b3e03805fac9d5fb4ff2d3066e53fc7e	169149037723	1193236247	110176367005	327147176	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	1f0f02191604101e1f201016171604060d010d1d1c150e110a110e1006160a0d	78760686158	566495360	50688387062	148833792	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	67ba5a9a0245ee3aff4f34852b9889b8c810fccd3dce2a23910bddd35c503b71	407784728218	2929452998	267242662788	789819944	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	64c3d5b43f005855ffc4d0950a02fd159aa1575294ea39061b81a194ebb9eaae	1355686254	7388262	1300339891	4980742	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	30aa34dfbe89e0c43f569929a96c0d2b74c321d13fec0375606325eee9a34a6a	2547285303	12742191	2607117671	10175150	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	0001000101000000010101000001000001010101010100000001000001010000	2506010075	14494696	1703126152	5803500	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	5e274e0f593511543d41570a4b03646c1d7539062b5728182e073e5760561a66	1806732057	8892205	2354324939	9127120	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	0f1d0110001b121d051e15140c0c05141d151c1f1d201c040f10091b020a0e1a	1791180533	11623695	1565363586	5404586	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	5d0a88250f13c49c20e146819357a808911c878a0e0a7d6f7fe1d4a619e06112	2192604876	13084535	2056190663	7496262	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	383683bfcecdab0f4df507f59631c702bd11a81ca3841f47f37633e8aacbb5de	1748255859	9633024	1550092684	5875730	
