Validator	Script	TxId	Measured CPU	Measured Memory	Reference CPU	Reference Memory	Message
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	ec4712ee820eb959a43ebedfab6735f2325fa52994747526ffd2a4f4f84dd58e	437363884	2305120	382987433	1390280	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	fc8c5f45ffcdb024c21e0f34b22c23de8045a94d5e1a5bda1555c45ddb059f82	404743662	2175624	347811707	1251844	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	b43564af5f13cc5208b92b1ad6d45369446f378d3891e5cb3e353b30d4f3fb10	390023478	2117510	332039421	1189228	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	f1a1e6a487f91feca5606f72bbb1e948c71abf043c6a0ea83bfea9ec6a0f08d8	388433551	2110876	330223844	1182626	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	c78eeba7681d2ab51b4758efa4c812cc041928837c6e7563d8283cce67ce2e02	408850363	2176317	360185006	1305198	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0100000100010000000001000100010101000101000001000000010000010000	570178991	2849382	541957850	2048074	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	03d730a62332c51c7b70c16c64da72dd1c3ea36c26b41cd1a1e00d39fda3d6cc	435386753	2296298	386505414	1410962	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	04f592afc6e57c633b9c55246e7c82e87258f04e2fb910c37d8e2417e9db46e5	512638186	2626956	483612607	1798680	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	962c2c658b19904372984a56409707401e64e9b03c1986647134cfd329ec5139	417854703	2216581	369874442	1352490	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	211e1b6c10260c4620074d2e372c260d38643a3d605f63772524034f0a4a7632	404743662	2175624	347811707	1251844	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0e72f62b0f922e31a2340baccc768104025400cf7fdd7dae62fbba5fc770936d	421296997	2225163	373633392	1357314	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	bd460b7549b70c52e37b312a4242041eac18fe4a266f018bcea0c78a9085a271	434611636	2266388	394593771	1453560	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	f7275afb60e33a550df13a132102e7e925dd28965a4efbe510a89b077ff9417f	390023478	2117510	332039421	1189228	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0202010002010100020102020102020001010101020102010001010101000100	388597861	2103492	331084800	1186762	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	36866914aa07cf62ef36cf2cd64c7f240e3371e27bb9fff5464301678e809c40	382318813	2066257	327094710	1174710	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	332c2b1c11383d1b373e1315201f1128010e0e1518332f273f141b23243f2a07	373024221	2008370	320334422	1153590	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0d0f01050a0a0a0b0b050d0404090e0d0506000d0a041003040e0f100e0a0408	397388264	2091809	355038039	1300656	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	4299c7fcf093a5dbfe114c188e32ca199b571a7c25cb7f766bf49f12dab308be	420022222	2243202	368261307	1335912	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0bdca1cb8fa7e38e09062557b82490714052e84e2054e913092cd84ac071b961	442770268	2294824	400105581	1476408	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	6c364699767a84059ffd99cf718562a8c09d96e343f23dc481e8ffda13af424f	388433551	2110876	330223844	1182626	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	c11490431db3a92efdda70933ba411a0423935e73a75c856e326dbcf6672f3bf	388597861	2103492	331084800	1186762	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	803eae94d62e2afc0e835c204af8362170301bc329e2d849d5f5a47dddf479ec	430984886	2252930	390147815	1438952	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	1a20b465d48a585ffd622bd8dc26a498a3c12f930ab4feab3a5064cfb3bc536a	418295002	2230980	363680539	1312224	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	3565ee025317e065e8555eef288080276716366769aad89e03389f5ec4ce26d7	402941560	2148641	354105765	1279736	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0e97c9d9417354d9460f2eb35018d3904b7b035af16ab299258adab93be0911a	420022222	2243202	368261307	1335912	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	057ebc80922f16a5f4bf13e985bf586b8cff37a2f6fe0f3ce842178c16981027	382318821	2066257	327094834	1174710	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	b6243a5b4c353ce4852aa41705111d57867d2783eeef76f6d59beb2360da6e90	503185758	2580056	463021083	1709824	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	031d56d71454e2c4216ffaa275c4a8b3eb631109559d0e56f44ea8489f57ba97	458636899	2371701	413978550	1513662	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0004000402010401030101030100040000010104020201030001000204020401	420022222	2243202	368261307	1335912	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	452e17d16222a427707fa83f63ffb79f606cc25c755a18b1e3274c964ed5ec99	454534888	2378086	413578009	1508268	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	5ade103e9530dd0d572fe1b053ea65ad925c6ebbe321e873ace8b804363fa82c	519833760	2630343	490154761	1841028	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	7b1dd76edc27f00eb382bf996378155baf74d6a7c6f3d5ec837c39d29784aade	390023478	2117510	332039421	1189228	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	4121d88f14387d33ac5e1329618068e3848445cdd66b29e5ba382be2e02a174a	444076818	2304476	409155349	1511236	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	a6664a2d2a82f370a34a36a45234f6b33120a39372331678a3b3690312560ce9	463585966	2387034	427112903	1591572	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	c4d4c88c5fe378a25a034025994a0d0b1642f10c8e6e513f872327fa895bfc7e	410150038	2165328	364929731	1337972	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	6b7bc2b9002a71b33cfd535d43f26334a283d0b9ad189b7cd74baac232c3b9fc	372142582	2041520	310846619	1099224	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	224ce46046fab9a17be4197622825f45cc0c59a6bd1604405148e43768c487ef	386556284	2101878	328907831	1173032	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	a7cb09f417c3f089619fe25b7624392026382b458486129efcff18f8912bf302	388433551	2110876	330223844	1182626	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	c99ecc2146ce2066ba6dffc734923264f8794815acbc2ec74c2c2c42ba272e4d	466233522	2416021	427110633	1583292	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	674b0577409957172ad85223c765d17e94c27714276c49c38dfae0a47a561a1e	380728886	2059623	325279133	1168108	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	6621a69217f09d91f42876a9c0cecf79de0e29bdd5b16c82c6c52cf959092ec4	425559368	2267834	374819153	1367008	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	6d66bddb4269bdf77392d3894da5341cf019d39787522af4f83f01285991e93c	390023478	2117510	332039421	1189228	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	3569299fc986f5354d02e627a9eaa48ab46d5af52722307a0af72bae87e256dc	382318813	2066257	327094710	1174710	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0303020000020001010201060303040208070100050401080304020801030001	387007934	2096858	329269223	1180160	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	f2932e4ca4bbb94b0a9ffbe95fcb7bd5639d9751d75d56d5e14efa5bbed981df	382318813	2066257	327094710	1174710	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	622a7f3bc611b5149253c9189da022a9ff296f60a5b7c172a6dc286faa7284fa	454961337	2368997	415915637	1532356	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	df487b2fd5c1583fa33644423849bc1ab5f02f37edc0c235f34ef01cb12604f6	401044495	2152338	344533186	1238878	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	21a1426fb3fb3019d5dc93f210152e90b0a6e740ef509b1cdd423395f010e0ca	421327887	2225795	369960728	1346906	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	4fbcfdb577a56b842d6f6938187a783f71d9da7519353e3da3ef0c564e1eb344	468668293	2413405	420908740	1547958	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	a6f064b83b31032ea7f25921364727224707268e472a569f584cc6b1d8c017e8	390023478	2117510	332039421	1189228	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	bd79f4a84db23b7c4cd219d498bd581e085cbc3437957e74a8862281a700700b	441869479	2332582	392407016	1436226	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	af2e072b5adfaa7211e0b341e1f7319c4f4e7364a4247c9247132a927e914753	450020966	2368894	404483193	1482596	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	d6bc8ac4155e22300085784148bbc9d9bbfea896e1009dd396610a90e3943032	434611636	2266388	394593771	1453560	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	3897ef714bba3e6821495b706c75f8d64264c3fdaa58a3826c808b5a768c303d	394963849	2117613	343471865	1238988	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	1138a04a83edc0579053f9ffa9394b41df38230121fbecebee8c039776a88c0c	386556284	2101878	328907831	1173032	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	cb2ab8e22d1f64e8d204dece092e90e9bf1fa8b2a6e9cba5012dbe4978065832	388597861	2103492	331084800	1186762	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	4dd7755b6ca1f0c9747c1fc0ee4da799f6f1c07108e980bd9f820911ad711ff2	495788976	2514592	470458430	1755550	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	eabeeae18131af89fa57936c0e9eb8d2c7adba534f7e1a517d75410028fa0d6c	390023478	2117510	332039421	1189228	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	a0fba5740174b5cd24036c8b008cb1efde73f1edae097b9325c6117a0ff40d3b	425780362	2266368	379659237	1379388	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	49b8275d0cb817be40865694ab05e3cfe5fc35fb43b78e7de68c1f3519b536bd	395236895	2097388	349161054	1265218	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	47364cfaf2c00f7d633283dce6cf84e4fd4e8228c0a0aa50e7c55f35c3ecaa1c	388433551	2110876	330223844	1182626	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0dbb692d2bf22d25eeceac461cfebf616f54003077a8473abc0457f18e025960	449636556	2325132	417624510	1542550	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	8c0fa5d9d6724c5c72c67e055d4bfc36a385ded7c3c81c08cdbd8705829af6e6	450749039	2331500	409611326	1516770	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	a92b4072cb8601fa697e1150c08463b14ffced54eb963df08d322216e27373cb	390023478	2117510	332039421	1189228	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	06317060a8e488b1219c9dae427f9ce27918a9e09ee8ac424afa33ca923f7954	402004913	2144907	352309070	1270238	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0101000100000101010000010101000100010101000001000001000000010101	438444154	2274822	398482164	1461186	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	ee3962fbd7373360f46decef3c9bda536a0b1daf6cda3b8a4bcfd6deeb5b4c53	441869479	2332582	392407016	1436226	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	5a2aae344e569a2c644dd9fa8c7b1f129850937eb562b7748c275f9e40bed596	388433551	2110876	330223844	1182626	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0f010d040810040b10020e040f0e030b0a0d100f0c080c0c05000d04100c100f	441869479	2332582	392407016	1436226	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	cc1e82927f6c65b3e912200ae30588793d2066e1d4a6627c21955944ac9bd528	429316019	2265808	376174304	1361874	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	07658a6c898ad6d624c37df1e49e909c2e9349ba7f4c0a6be5f166fe239bfcae	372142582	2041520	310846619	1099224	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	b869f3928200061abb1c3060425b9354b0e08cbf4400b340b8707c14b34317cd	552841186	2762027	519996929	1952180	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	d5cda74eb0947e025e02fb8ed365df39d0a43e4b42cd3573ac2d8fcb29115997	423988583	2256592	371214214	1346222	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	a1b25347409c3993feca1a60b6fcaf93d1d4bbaae19ab06fdf50cedc26cee68d	369557039	1992738	317203018	1137394	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	f53e8cafe26647ccce51e4c31db13608aea1f39034c0f52dee2e5634ef66e747	416555028	2227570	365129717	1319716	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	041a2c3b111139201a3a2c173c392b170e16370d300f2d28342d0f2f0e182e01	445417816	2323811	400103187	1468128	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0e00171d0f1e1f14070d0a00091f07101808021d081e1b120219081312081e15	387060782	2063850	335598385	1212308	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0405010105020401010304080005050800040301010800080207080704020206	444915490	2340894	395158079	1440144	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	121a0a1b12030616111f02121a0e070716090a0e031c071419121f141409031d	377426002	2036607	323008499	1156048	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	87167fc5469adac97c1be749326fa79a6b7862ce68aa4abcb438e3c034bd0899	447058270	2315234	408042157	1505676	
Role Payout	fb5a52cc79da601eff8901272d3115444c1cd1ae82dd42caeee7346b	0403020000030204010000030001000202010101000304030001040404030100	405984866	2152441	355965630	1288638	
