Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Sha2_256/ExMemory 8900,2.7062193141364665e-4,2.703925027574654e-4,2.708749817967523e-4,8.215973444226989e-7,6.242450011905946e-7,1.146968366457048e-6
Sha2_256/ExMemory 9000,2.7549285402053947e-4,2.740897319704926e-4,2.793852667195516e-4,8.077088304091721e-6,2.4502518079097492e-6,1.4957592076722142e-5
Sha2_256/ExMemory 9100,2.7701100544961685e-4,2.7669227085389534e-4,2.7765048671703495e-4,1.4020796474643763e-6,8.495039284614967e-7,2.3865918200494203e-6
Sha2_256/ExMemory 9200,2.824451664371474e-4,2.80723535364971e-4,2.875889487998434e-4,1.0002148413038927e-5,4.3162670249230324e-6,1.7822947201088397e-5
Sha2_256/ExMemory 9300,2.826339788784397e-4,2.82298412442936e-4,2.8314966092937737e-4,1.479374101455686e-6,9.63428752338861e-7,2.3661725082887016e-6
Sha2_256/ExMemory 9400,2.908622213704872e-4,2.876889789877474e-4,2.9779438302196776e-4,1.4327492595201576e-5,6.944405872383483e-6,2.479600068291496e-5
Sha2_256/ExMemory 9500,2.892745321860809e-4,2.8893271329030355e-4,2.898805824885821e-4,1.5422095607328844e-6,1.0335575802912394e-6,2.5227456136761807e-6
Sha2_256/ExMemory 9600,3.0168599328762245e-4,2.9491651997967146e-4,3.212903779255311e-4,3.543118926888434e-5,9.027294151277165e-6,7.278612772668963e-5
Sha2_256/ExMemory 9700,2.948112508369786e-4,2.9455757883540667e-4,2.955929012417343e-4,1.4079938629768643e-6,6.80597994701547e-7,2.6711797927281683e-6
Sha2_256/ExMemory 9800,3.0083575773308955e-4,2.983239364624616e-4,3.0848172256386165e-4,1.3909467296425994e-5,1.740607456133184e-6,2.854762643108055e-5
Sha2_256/ExMemory 9900,3.021462097583837e-4,3.0091789663702954e-4,3.050098715625312e-4,6.186365877808829e-6,1.6194417577634764e-6,1.2392021870434848e-5
Sha2_256/ExMemory 10000,3.037961424487171e-4,3.035688726646282e-4,3.042369340555287e-4,1.0351180380636372e-6,7.105417936391487e-7,1.625309023525373e-6
Sha3_256/ExMemory 0,2.994245433046602e-6,2.9686564510868905e-6,3.0713042542646213e-6,1.3722404237160487e-7,6.403720752390939e-8,2.550571705716876e-7
Sha3_256/ExMemory 100,1.0575939990901847e-5,1.055898826242909e-5,1.0616836083973632e-5,9.173368477983639e-8,4.307484422164217e-8,1.571260042793772e-7
Sha3_256/ExMemory 200,1.9093442432666978e-5,1.8988035733141525e-5,1.931920940918122e-5,5.156834544153478e-7,2.704764408780644e-7,8.712402265591949e-7
Sha3_256/ExMemory 300,2.728929468585098e-5,2.7238878865487706e-5,2.7477754169238064e-5,2.979547237550317e-7,1.1043442288831693e-7,5.953930900927952e-7
Sha3_256/ExMemory 400,3.591657745890676e-5,3.565620375066135e-5,3.64214484630576e-5,1.1886013713556104e-6,4.951327078201766e-7,2.058579693604573e-6
Sha3_256/ExMemory 500,4.395325770104755e-5,4.382929295873627e-5,4.427505849389113e-5,6.982581384036132e-7,1.6374013943504696e-7,1.3004329302309235e-6
Sha3_256/ExMemory 600,5.271396817186083e-5,5.23744454299852e-5,5.372977219649514e-5,1.7579706506707393e-6,9.737233896152364e-7,2.9092024254869027e-6
Sha3_256/ExMemory 700,6.0549683349509214e-5,6.0471968840954936e-5,6.069467349550217e-5,3.3220449860331524e-7,2.160207685462909e-7,5.309071573406302e-7
Sha3_256/ExMemory 800,6.950190111636372e-5,6.894698324219158e-5,7.08536101404007e-5,2.4309559171849583e-6,1.17242147867926e-6,4.281089337247563e-6
Sha3_256/ExMemory 900,7.573996781188479e-5,7.567434979773525e-5,7.579818822030949e-5,1.9440909142211298e-7,1.619330808385772e-7,2.3517542381243974e-7
Sha3_256/ExMemory 1000,8.503721835053408e-5,8.44022082695425e-5,8.591669145254767e-5,2.570390207827248e-6,1.464193761671282e-6,3.5900098654842306e-6
Sha3_256/ExMemory 1100,9.251503669303356e-5,9.239686450589081e-5,9.27285646884848e-5,5.804315741519752e-7,3.059723786956594e-7,9.780354874977584e-7
Sha3_256/ExMemory 1200,1.0197947568638067e-4,1.0111456663960452e-4,1.0415819775587102e-4,3.926289266302307e-6,1.9791589631917665e-6,6.782045515373301e-6
Sha3_256/ExMemory 1300,1.0901574943044308e-4,1.0879287961518029e-4,1.0950741259080144e-4,1.0473990997241705e-6,2.9225726385961935e-7,2.0562409721088466e-6
Sha3_256/ExMemory 1400,1.2004560484373645e-4,1.1860814306200945e-4,1.2335727663059643e-4,7.612856707828245e-6,3.985482177446805e-6,1.302786032775358e-5
Sha3_256/ExMemory 1500,1.2571959405892753e-4,1.2549927493853656e-4,1.2664059903160085e-4,1.252179038688178e-6,3.0621737638292036e-7,2.5112186693871585e-6
Sha3_256/ExMemory 1600,1.3785962570427506e-4,1.3608569414892764e-4,1.4051840569094222e-4,7.551528770134778e-6,5.185213183078174e-6,1.3002320108850272e-5
Sha3_256/ExMemory 1700,1.4267968012127597e-4,1.4232975320984938e-4,1.4393785019128555e-4,2.078842799420176e-6,5.756415263660136e-7,4.249221085994659e-6
Sha3_256/ExMemory 1800,1.4959437452985553e-4,1.4918141726516157e-4,1.507087626033581e-4,2.399326777900298e-6,3.640494433517784e-7,4.589953075899928e-6
Sha3_256/ExMemory 1900,1.5894902040552484e-4,1.5759933468396212e-4,1.632307564273498e-4,7.446507413479374e-6,5.062330541215316e-7,1.4016132942247467e-5
Sha3_256/ExMemory 2000,1.666551407768711e-4,1.658871177869254e-4,1.6950011511383494e-4,4.583657048203581e-6,6.846543448173817e-7,9.641309591358649e-6
Sha3_256/ExMemory 2100,1.7547572342463944e-4,1.7437134303816313e-4,1.7879122644764438e-4,5.794751020135303e-6,5.737851379377613e-7,1.120792550128052e-5
Sha3_256/ExMemory 2200,1.8350748256425845e-4,1.8263310946208656e-4,1.8534458416694503e-4,4.2892209271683365e-6,7.325718458281833e-7,8.222607698703948e-6
Sha3_256/ExMemory 2300,1.9199187573370712e-4,1.9116727580547412e-4,1.940955215591307e-4,4.267376189435032e-6,2.5141310205177333e-6,7.366874567109448e-6
Sha3_256/ExMemory 2400,1.9915520416646708e-4,1.9903432450459432e-4,1.9933479782207236e-4,5.174028685216045e-7,4.007662756363374e-7,7.497880066173884e-7
Sha3_256/ExMemory 2500,2.0937993775083368e-4,2.0799254507241117e-4,2.1203965908901014e-4,6.583778300776074e-6,3.3400503944298098e-6,1.0062033704649168e-5
Sha3_256/ExMemory 2600,2.1456610694137626e-4,2.142259406768763e-4,2.1568731405670203e-4,1.873739097436246e-6,8.187390918192654e-7,3.6685716037142816e-6
Sha3_256/ExMemory 2700,2.2478671820713543e-4,2.2349450158984605e-4,2.2793217990743462e-4,6.462441546551849e-6,3.522949332038338e-6,9.914492668051078e-6
Sha3_256/ExMemory 2800,2.3093966914893596e-4,2.3079620457458754e-4,2.3111014549545485e-4,5.440117211028093e-7,4.258268451111503e-7,6.945909670959953e-7
Sha3_256/ExMemory 2900,2.4147322097846296e-4,2.3997880907783827e-4,2.447833345754885e-4,6.679998385592417e-6,2.6433979892175835e-6,1.0366150818017682e-5
Sha3_256/ExMemory 3000,2.475004013282494e-4,2.473005722456881e-4,2.480423940052884e-4,1.2023341987597224e-6,6.696026458161053e-7,2.2231139271177403e-6
Sha3_256/ExMemory 3100,2.58307341435119e-4,2.5671574937080155e-4,2.6217368137561515e-4,8.557439822362512e-6,5.152823656672006e-6,1.4943752561642739e-5
