Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
AddInteger/ExMemory 0/ExMemory 0,1.5143549965245701e-5,1.507311324151726e-5,1.5262382723879783e-5,2.840439050821958e-7,1.7018705973202106e-7,4.236462877816669e-7
AddInteger/ExMemory 0/ExMemory 0,1.5077196345458043e-5,1.5031060550398998e-5,1.5154369873204954e-5,1.9561251098923614e-7,1.0482275477227258e-7,3.3413673102242377e-7
AddInteger/ExMemory 0/ExMemory 0,1.523847156813982e-5,1.5169046601718873e-5,1.53988744505608e-5,3.2232956737442167e-7,1.1339236432453023e-7,5.834086176935129e-7
AddInteger/ExMemory 0/ExMemory 1,1.706557154990939e-5,1.7010525838869397e-5,1.710791113828354e-5,1.665730607303049e-7,1.1973142767225936e-7,2.2918599125499166e-7
AddInteger/ExMemory 0/ExMemory 3,1.7106296786201902e-5,1.7049110224505486e-5,1.7154057642267223e-5,1.7917302969729882e-7,1.3733340468011755e-7,2.3906801345795766e-7
AddInteger/ExMemory 0/ExMemory 6,1.713682201062536e-5,1.704402563453533e-5,1.744618123851541e-5,5.372311703674337e-7,1.7722968093065337e-7,1.100740616253931e-6
AddInteger/ExMemory 0/ExMemory 13,1.739158331758213e-5,1.7224818691293828e-5,1.779895011730432e-5,8.339893712313611e-7,3.9370114447071e-7,1.4817667372788823e-6
AddInteger/ExMemory 0/ExMemory 27,1.7383693808464246e-5,1.731695868525537e-5,1.75110426634314e-5,2.8937543462998877e-7,1.7135011051809092e-7,4.590763092806354e-7
AddInteger/ExMemory 0/ExMemory 54,1.76277749194074e-5,1.7528499215761603e-5,1.7923215225643112e-5,5.840684959730437e-7,1.3906892609806334e-7,1.1109425949988244e-6
AddInteger/ExMemory 0/ExMemory 108,1.8080903016606193e-5,1.7835082789172203e-5,1.8713086109431514e-5,1.1763519697820058e-6,1.9900556520369013e-7,2.3880268511485306e-6
AddInteger/ExMemory 0/ExMemory 216,1.8403018574923327e-5,1.8314347323384413e-5,1.8608007788297427e-5,3.9522896661256e-7,1.2682382107955493e-7,6.886801773433936e-7
AddInteger/ExMemory 0/ExMemory 432,1.9730410103133198e-5,1.9651553239036382e-5,2.0103940493753267e-5,4.448856873388445e-7,1.407784594842384e-7,1.0386438206338718e-6
AddInteger/ExMemory 0/ExMemory 865,2.4371647117012463e-5,2.417935087092805e-5,2.503129886907547e-5,1.1159734621005956e-6,3.436537445395762e-7,2.2215520146913524e-6
AddInteger/ExMemory 0/ExMemory 1731,3.0325722359556467e-5,2.993087531273236e-5,3.147505294957252e-5,1.998532840393632e-6,1.0234464531719363e-6,3.6385644355843228e-6
AddInteger/ExMemory 0/ExMemory 0,1.527791655995514e-5,1.5142669198942932e-5,1.5624161150863692e-5,6.388590027849062e-7,1.3169440900560015e-7,1.203047631446582e-6
AddInteger/ExMemory 0/ExMemory 0,1.5129201608921281e-5,1.5080911010829225e-5,1.5166069008658227e-5,1.3453530468802165e-7,1.0740718982760216e-7,1.7583908200407311e-7
AddInteger/ExMemory 0/ExMemory 0,1.5294680213652104e-5,1.5172199298699146e-5,1.5638134667656917e-5,5.934021370320095e-7,1.0518354482966399e-7,1.1276944581823031e-6
AddInteger/ExMemory 0/ExMemory 0,1.5168174719314638e-5,1.512987749255256e-5,1.5195591010665786e-5,1.1300354206780226e-7,8.491339184322014e-8,1.6869084931458096e-7
AddInteger/ExMemory 0/ExMemory 0,1.531537427151457e-5,1.5145523704423403e-5,1.5931690626012827e-5,8.929426632538449e-7,2.1669629222124858e-7,1.8203418226603503e-6
AddInteger/ExMemory 0/ExMemory 1,1.7204018916705808e-5,1.7074579646719566e-5,1.768519264621511e-5,7.476987583300822e-7,1.5079640226304574e-7,1.5497733836007444e-6
AddInteger/ExMemory 0/ExMemory 3,1.7135796467334323e-5,1.706941563533178e-5,1.7283466559775694e-5,3.327045631834804e-7,1.5947109242826878e-7,6.540231567416734e-7
AddInteger/ExMemory 0/ExMemory 6,1.733520589205149e-5,1.7134772413366177e-5,1.8133416595443784e-5,1.138104966714351e-6,2.566698958887442e-7,2.569444657153957e-6
