Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DivideInteger/ExMemory 0/ExMemory 264160,1.6584077076960722e-6,1.6044913179557344e-6,1.7476935848438104e-6,2.2809038088992974e-7,1.8668363347024161e-7,3.065488133903085e-7
DivideInteger/ExMemory 0/ExMemory 2641604,1.977296198779434e-6,1.9119470550437467e-6,2.024393188663136e-6,1.903890004885276e-7,1.6334010868079577e-7,2.2840633994247866e-7
DivideInteger/ExMemory 0/ExMemory 0,1.8728125596144608e-6,1.8009622821132974e-6,1.93998827095826e-6,2.3891270059337523e-7,2.0178747819272723e-7,2.8705680254134365e-7
DivideInteger/ExMemory 0/ExMemory 0,1.7548966027647137e-6,1.6678297674779233e-6,1.8339102164132014e-6,2.398781186236773e-7,1.8470937859986644e-7,3.0845971051932633e-7
DivideInteger/ExMemory 0/ExMemory 0,1.7417299512382768e-6,1.699817926051479e-6,1.7679205414063631e-6,1.1792471870161699e-7,7.7635705722386e-8,1.516993386927269e-7
DivideInteger/ExMemory 0/ExMemory 0,1.9072994919412225e-6,1.8360636916169527e-6,2.0051484155001645e-6,2.9959312183670353e-7,2.2355361184548267e-7,4.1608806146673355e-7
DivideInteger/ExMemory 0/ExMemory 0,1.6915145035399719e-6,1.6361336714353715e-6,1.7432944899212617e-6,1.9836736423192775e-7,1.6765184951683963e-7,2.42874713986491e-7
DivideInteger/ExMemory 0/ExMemory 1,1.8125245912358578e-6,1.7463648052157222e-6,1.8781629485575376e-6,2.167555031496941e-7,1.7324231530428014e-7,2.69292387247609e-7
DivideInteger/ExMemory 0/ExMemory 3,1.8002637469008711e-6,1.729946522196393e-6,1.8822944655797584e-6,2.5090818391188543e-7,1.977881642522033e-7,2.9779283373161817e-7
DivideInteger/ExMemory 0/ExMemory 6,1.787163568684032e-6,1.7448301285625138e-6,1.8539401790703098e-6,1.7634983881097431e-7,1.2978731057939071e-7,2.8566280985121814e-7
DivideInteger/ExMemory 0/ExMemory 13,1.670163029251854e-6,1.6463095885127606e-6,1.700455620702045e-6,1.0035882923129172e-7,8.309250192720496e-8,1.538418312988872e-7
